項次,分類,原始項次,domain,URL,系統名稱,弱點名稱,弱點描述(英文),弱點描述(中文),修補建議(英文),修補建議(中文),風險等級,參數資訊,標的管理單位,弱點狀態,弱點發現時間,設備種類,檢測日期
148,Low,329,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%B0%B8%E4%B8%8D%E6%94%BE%E6%A3%84%E7%9A%84%E5%8F%B0%E7%81%A3%E7%8E%8B%E7%89%8C%E7%9C%8B%E8%A6%8B%E7%8E%8B%E5%BB%BA%E6%B0%91%E7%9A%84%E9%8B%BC%E9%90%B5%E6%84%8F%E5%BF%97
參數:永不放棄的台灣王牌看見王建民的鋼鐵意志(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
149,Low,330,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/90%E5%91%A8%E5%B9%B4%E7%B1%B3%E5%A5%87%E6%8E%A7%E5%BF%85%E6%94%B6%E5%A1%97%E9%B4%89%E5%A4%A7%E5%B8%ABbounce%E6%93%8D%E5%88%80%E6%9C%80%E5%80%8B%E6%80%A7mickey%E5%85%AC%E4%BB%94%E7%8E%A9%E5%85%B7%E5%B1%95%E9%99%90%E9%87%8F%E9%96%8B%E6%90%B6
參數:90周年米奇控必收塗鴉大師bounce操刀最個性mickey公仔玩具展限量開搶(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
150,Low,332,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles
參數:articles(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
151,Low,333,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/2021%E5%AE%9C%E8%98%AD%E5%AD%B8%E9%9C%B8%E5%B1%95%E5%AF%A6%E5%8A%9B%E5%AE%9C%E8%98%AD%E9%AB%98%E4%B8%AD%E7%B1%83%E7%90%83%E9%9A%8A%E9%87%8D%E8%BF%94hbl%E5%8D%81%E4%BA%8C%E5%BC%B7
參數:2021宜蘭學霸展實力宜蘭高中籃球隊重返hbl十二強(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
152,Low,334,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/%E7%AC%AC%E4%B8%80%E5%90%8D%E5%AD%B8%E9%9C%B8%E6%8A%80%E8%83%BD%E7%AB%B6%E8%B3%BD%E9%87%91%E7%89%8C%E7%B1%83%E7%90%83%E9%9A%8A%E8%8F%81%E8%8B%B1%E6%9E%97%E7%87%88%E5%9F%BA%E9%87%91%E6%9C%83%E7%8D%8E%E5%8A%A974%E4%BD%8D%E9%AB%98%E4%B8%AD%E8%81%B7%E5%84%A...
參數:第一名學霸技能競賽金牌籃球隊菁英林燈基金會獎助74位高中職優秀學生-79842a6b-fb8a-41a5-9115-99e568b3ef71(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
153,Low,335,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E4%BF%9D%E8%8F%AF%E8%B3%87%E5%AE%89%E8%AB%87%E7%87%9F%E6%A5%AD%E7%A7%98%E5%AF%86-%E5%A4%96%E6%B4%A9%E4%B9%8B%E9%98%B2%E7%AF%84
參數:保華資安談營業秘密-外洩之防範(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
154,Low,336,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/10%E5%B9%B4%E6%B2%92%E6%B8%85%E6%B4%97%E5%86%B7%E6%B0%A3%E6%A9%9F%E6%9C%89%E5%A4%9A%E9%AB%92%E5%B0%88%E5%AE%B6%E6%B4%97%E5%87%BA%E4%B8%80%E6%A1%B6%E9%BB%91%E6%B3%A5%E5%85%A8%E6%98%AF%E9%81%8E%E6%95%8F%E5%8E%9F
參數:10年沒清洗冷氣機有多髒專家洗出一桶黑泥全是過敏原(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
155,Low,337,https://news.secom.com.tw/,"https://news.secom.com.tw/articles/2020%E6%80%AA%E7%8D%B8x%E8%8B%B1%E9%9B%84%E9%80%A0%E5%9E%8B%E5%89%B5%E4%BD%9C%E5%A4%A7%E8%B3%BD%E6%B1%BA%E9%81%B8%E5%93%A5%E5%90%89%E6%8B%89%E5%A4%A7%E9%9B%86%E5%90%88%E5%85%AC%E4%BB%94%E8%BF%B7%E5%BF%AB%E5%8E%BB%E4%B8%89%E5%89%B5%E6%9C%9D%E8%81%96%E6%8...
參數:2020怪獸x英雄造型創作大賽決選哥吉拉大集合公仔迷快去三創朝聖投票(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
156,Low,338,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E5%B1%85%E5%AE%B6%E6%A9%9F%E5%99%A8%E4%BA%BA%E8%B6%85%E5%90%B8%E7%9D%9B%E6%99%BA%E6%85%A7%E5%BD%B1%E5%83%8F%E8%BE%A8%E8%AD%98%E5%8A%9F%E8%83%BD%E7%B6%B2%E8%B7%AF%E6%94%9D%E5%BD%B1%E6%A9%9F%E5%8F%AF%E7%B5%B1%E8%A8%88%E4%BA%BA%E6%B5%81%E5%81%B5%E6%B8%AC%...
參數:居家機器人超吸睛智慧影像辨識功能網路攝影機可統計人流偵測身高(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
157,Low,339,https://news.secom.com.tw/,"https://news.secom.com.tw/home/link_group
參數:link_group(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
158,Low,340,https://news.secom.com.tw/,"https://news.secom.com.tw/home/articles/%E6%9C%80%E6%99%BA%E6%85%A7%E7%9A%84%E9%96%80%E5%B8%82%E6%A9%9F%E5%99%A8%E4%BA%BA%E7%95%B6%E5%BA%97%E5%93%A1%E9%99%AA%E7%86%9F%E5%AE%A2%E8%81%8A%E5%A4%A9%E9%82%84%E5%B9%AB%E5%BF%99%E4%BF%83%E9%8A%B7%E8%B3%A3%E9%BA%B5%E5%8C%85%E2%8B%AF
參數:最智慧的門市機器人當店員陪熟客聊天還幫忙促銷賣麵包⋯(Page)",無限+生活誌,找到可快取的 SSL 頁面,Sensitive information might have been cached by your browser,瀏覽器可能已快取機密性資訊,"Disable caching on all SSL pages or all pages that contain sensitive data.
This can be achieved by using ""Cache-Control: no-store"" and either ""Pragma: no-cache"" or ""Cache-Control: no-cache"" response directives in your SSL page headers.

Cache-Control: private - This directive instructs proxies that the page contains private information, and therefore should not be cached by a shared cache. However, it does not instruct browsers to refrain from caching the pages.

Cache-Control: no-cache - This directive also instructs proxies that the page contains private information, and therefore should not be cached. It also instructs the browser to revalidate with the server to check if a new version is available. This means that the browser may store sensitive pages or information to be used in the revalidation. Certain browsers do not necessarily follow the RFC and may treat no-cache as no-store.

Cache-Control: no-store - This is the most secure directive. It instructs both the proxy and the browser not to cache the page or store it in its cache folders.

Pragma: no-cache - This directive is required for older browsers, that do not support the Cache-Control header.
","在所有 SSL 頁面及含有機密資料的所有頁面上，停用快取。
這可以透過在您的 SSL 頁面標頭中使用 ""Cache-Control: no-store"" 及 ""Pragma: no-cache"" 或 ""Cache-Control: no-cache"" 回應指引達成。

Cache-Control: private - 這個指引指示 Proxy 頁面含有私密資訊，因此不應藉由共用快取進行快取。不過，它不會指示瀏覽器不要進行頁面快取。

Cache-Control: no-cache - 這個指引也會指示 Proxy 頁面含有私密資訊，因此不能進行快取。它也會指示瀏覽器要向伺服器重新驗證，檢查是否有新的版本。這表示瀏覽器可以儲存敏感性頁面或資訊，在重新驗證時使用。某些瀏覽器不一定會遵循 RFC，因此可能會將 no-cache 視為 no-store。

Cache-Control: no-store - 這是最安全的指引。它指示 Proxy 和瀏覽器不要快取頁面或將頁面儲存在快取資料夾。

Pragma: no-cache - 不支援 Cache-Control 標頭的舊瀏覽器需要這項指引。
",Low,有可能收集 Web 應用程式相關的機密性資訊，如：使用者名稱、密碼、機器名稱及/或機密檔案位置,中興保全科技股份有限公司,新增弱點,2026/08/20 13:58,伺服器設備,2026/08/20
